Warming (2deg-years),Utility loss (%CBGE),Mitigation cost (%CBGE),Damage cost (%CBGE),Abat(2030)/.5degC (%),Abat(2050)/.5degC (%),95th damage cost (%BGE),95th max temp (degC)
212.33,1.69,0.31,1.38,17.91,12.97,1.97,4.83
213.46,1.68,0.31,1.37,20.19,12.21,1.90,4.68
214.40,1.69,0.30,1.39,17.60,12.48,2.03,4.92
215.44,1.69,0.30,1.39,18.02,12.58,2.03,4.93
216.49,1.69,0.29,1.39,17.18,12.50,2.04,4.93
217.32,1.69,0.29,1.40,17.42,12.27,2.04,4.94
218.37,1.68,0.29,1.39,19.48,13.39,1.94,4.80
218.60,1.68,0.29,1.39,19.44,13.35,1.94,4.82
219.65,1.68,0.29,1.38,22.20,14.12,1.95,4.88
221.38,1.68,0.29,1.38,22.78,14.75,1.90,4.78
206.50,1.69,0.33,1.36,17.44,12.48,1.95,4.73
207.46,1.69,0.33,1.36,19.75,13.58,1.93,4.78
208.29,1.69,0.32,1.36,20.08,13.51,1.98,4.87
209.46,1.69,0.32,1.36,17.88,13.30,1.91,4.75
210.35,1.69,0.31,1.37,19.14,13.23,2.00,4.88
211.27,1.69,0.31,1.37,16.80,12.82,1.94,4.75
211.97,1.69,0.31,1.37,19.31,12.68,1.95,4.81
212.92,1.68,0.31,1.36,22.16,13.93,1.87,4.67
214.14,1.68,0.31,1.36,22.51,14.73,1.89,4.73
215.37,1.68,0.31,1.36,23.78,15.37,1.87,4.71
215.65,1.68,0.31,1.36,23.70,15.36,1.87,4.70
201.49,1.69,0.35,1.34,18.25,13.38,1.93,4.71
202.39,1.69,0.34,1.34,18.44,13.97,1.85,4.60
203.47,1.68,0.34,1.34,20.26,13.93,1.86,4.62
204.41,1.69,0.34,1.35,18.68,13.57,1.96,4.83
205.49,1.69,0.33,1.35,20.13,13.77,1.91,4.75
206.19,1.69,0.33,1.36,19.07,12.78,1.90,4.70
206.86,1.68,0.33,1.35,21.51,14.62,1.89,4.73
207.51,1.68,0.33,1.34,22.28,15.31,1.85,4.63
209.42,1.68,0.33,1.34,25.69,14.94,1.81,4.56
210.20,1.68,0.33,1.34,26.15,15.86,1.84,4.65
210.68,1.68,0.33,1.34,25.81,16.47,1.82,4.60
196.40,1.69,0.37,1.31,22.79,14.69,1.82,4.56
197.38,1.69,0.36,1.32,20.85,14.22,1.83,4.57
198.45,1.69,0.36,1.33,19.60,14.58,1.87,4.65
199.40,1.69,0.36,1.33,20.99,13.66,1.86,4.62
200.49,1.69,0.35,1.33,20.15,14.06,1.84,4.58
201.25,1.68,0.35,1.33,21.84,14.38,1.83,4.58
201.62,1.68,0.35,1.32,23.18,15.24,1.83,4.57
202.90,1.68,0.35,1.32,26.26,15.51,1.80,4.53
204.09,1.68,0.35,1.32,26.24,16.88,1.80,4.56
205.10,1.68,0.35,1.32,26.01,16.75,1.80,4.56
205.82,1.68,0.35,1.32,27.72,16.71,1.81,4.59
191.43,1.69,0.39,1.30,22.66,15.25,1.80,4.52
192.36,1.69,0.38,1.30,20.60,14.71,1.82,4.56
193.37,1.69,0.38,1.30,22.82,15.34,1.79,4.49
194.31,1.69,0.38,1.31,21.50,14.30,1.86,4.65
195.38,1.69,0.37,1.31,20.82,14.95,1.85,4.61
195.76,1.69,0.37,1.31,21.56,14.97,1.81,4.53
196.68,1.68,0.37,1.31,24.93,16.04,1.80,4.55
197.62,1.68,0.37,1.30,25.44,16.70,1.78,4.49
200.41,1.68,0.37,1.30,27.23,17.47,1.77,4.52
201.27,1.68,0.37,1.30,28.03,17.65,1.75,4.48
186.48,1.70,0.41,1.28,22.46,15.45,1.79,4.52
187.45,1.69,0.40,1.28,21.26,15.93,1.77,4.48
188.43,1.69,0.40,1.29,22.77,15.52,1.78,4.47
189.27,1.70,0.40,1.29,20.42,15.38,1.82,4.57
190.45,1.69,0.39,1.29,23.32,15.08,1.81,4.56
191.25,1.69,0.39,1.29,24.58,15.66,1.77,4.48
192.30,1.68,0.39,1.29,25.86,16.55,1.76,4.48
192.82,1.68,0.39,1.29,27.12,16.56,1.75,4.44
195.15,1.68,0.39,1.29,29.14,17.67,1.73,4.46
182.48,1.70,0.43,1.27,23.29,16.30,1.77,4.47
183.34,1.70,0.42,1.27,23.55,16.53,1.77,4.48
184.44,1.70,0.42,1.28,21.92,16.49,1.81,4.52
185.38,1.70,0.41,1.28,21.37,15.98,1.81,4.54
186.28,1.69,0.41,1.28,24.32,16.42,1.78,4.49
186.52,1.69,0.41,1.28,23.44,16.61,1.76,4.46
187.54,1.69,0.41,1.27,27.10,17.35,1.73,4.41
188.77,1.68,0.41,1.27,29.60,17.63,1.71,4.39
178.43,1.70,0.45,1.25,25.11,16.97,1.75,4.43
179.46,1.70,0.44,1.26,23.47,16.59,1.74,4.42
180.46,1.70,0.44,1.26,26.02,17.44,1.76,4.48
181.43,1.70,0.43,1.26,23.14,16.17,1.74,4.41
182.42,1.69,0.43,1.26,27.09,17.75,1.72,4.40
183.46,1.69,0.43,1.26,27.65,18.10,1.71,4.37
183.58,1.69,0.43,1.25,26.84,18.09,1.69,4.34
184.78,1.69,0.43,1.25,30.89,18.49,1.69,4.35
185.77,1.69,0.43,1.25,32.08,18.87,1.67,4.33
173.47,1.71,0.47,1.23,25.43,18.09,1.73,4.42
174.39,1.71,0.46,1.24,24.60,17.85,1.72,4.40
175.49,1.71,0.46,1.24,23.94,17.62,1.76,4.43
176.46,1.70,0.46,1.24,24.67,17.73,1.72,4.40
177.49,1.70,0.45,1.25,25.72,17.50,1.75,4.44
178.06,1.70,0.45,1.24,26.37,18.15,1.70,4.36
178.85,1.69,0.45,1.24,28.09,18.58,1.69,4.34
180.06,1.69,0.45,1.24,30.61,19.04,1.67,4.32
181.40,1.69,0.45,1.24,31.79,19.09,1.65,4.28
169.48,1.71,0.49,1.22,25.92,18.60,1.68,4.33
170.49,1.71,0.48,1.22,25.57,18.53,1.71,4.37
171.47,1.71,0.48,1.23,24.94,18.01,1.72,4.40
172.47,1.71,0.47,1.23,25.67,18.11,1.69,4.35
173.27,1.71,0.47,1.24,24.34,17.75,1.73,4.40
174.37,1.70,0.47,1.23,29.78,19.01,1.68,4.34
174.95,1.70,0.47,1.22,29.16,19.34,1.66,4.30
175.94,1.70,0.47,1.22,32.22,19.55,1.66,4.29
166.39,1.72,0.51,1.21,25.27,18.67,1.70,4.36
167.49,1.71,0.50,1.21,27.51,19.08,1.67,4.31
168.49,1.71,0.50,1.21,27.05,18.47,1.67,4.31
169.37,1.71,0.49,1.22,26.67,18.93,1.68,4.32
170.08,1.71,0.49,1.21,29.44,19.39,1.67,4.30
170.59,1.71,0.49,1.21,30.43,19.28,1.65,4.26
171.61,1.70,0.49,1.21,32.61,20.37,1.65,4.27
172.61,1.71,0.50,1.21,33.66,21.28,1.61,4.21
162.49,1.73,0.53,1.19,27.30,19.98,1.67,4.29
163.39,1.72,0.52,1.20,27.23,19.62,1.66,4.29
164.37,1.72,0.52,1.20,28.24,19.63,1.66,4.29
165.50,1.72,0.51,1.21,25.59,19.19,1.67,4.30
166.38,1.71,0.51,1.20,30.28,20.07,1.64,4.26
166.67,1.71,0.51,1.20,30.52,20.71,1.63,4.24
167.85,1.71,0.51,1.20,31.82,20.89,1.61,4.20
168.78,1.71,0.51,1.19,34.35,22.02,1.61,4.21
